update_id,project_id,report_date,planned_pct_complete,actual_pct_complete,estimated_cost_to_complete,forecast_completion_date,primary_delay_reason,submitted_by
UPD00032,P005,2025-03-08,66.7,53.6,1302827.41,2025-06-23,Inspection / approval delay,Marcus Reed
UPD00033,P005,2025-04-05,80,65.3,1026915.2,2025-06-27,Inspection / approval delay,Marcus Reed
UPD00034,P005,2025-05-03,93.3,72.9,789600.45,2025-07-02,Inspection / approval delay,Marcus Reed
UPD00035,P005,2025-05-31,100,83.9,602209.27,2025-07-06,Inspection / approval delay,Marcus Reed
UPD00036,P005,2025-06-28,100,96.7,184510.23,2025-07-11,Inspection / approval delay,Marcus Reed
UPD00037,P005,2025-07-13,100,100,0,2025-07-13,Inspection / approval delay,Marcus Reed
UPD00038,P006,2024-02-18,13,11.7,1169014.11,2024-09-03,Material lead time,Priya Shah
UPD00039,P006,2024-03-17,25.9,21.5,1021445.29,2024-09-06,Subcontractor availability,Priya Shah
UPD00040,P006,2024-04-14,38.9,34,856535.59,2024-09-08,Material lead time,Priya Shah
UPD00041,P006,2024-05-12,51.9,45.6,732030.37,2024-09-11,Subcontractor availability,Priya Shah
UPD00042,P006,2024-06-09,64.8,56,530919.29,2024-09-13,Material lead time,Priya Shah
UPD00043,P006,2024-07-07,77.8,69.1,413118.11,2024-09-16,Material lead time,Priya Shah
UPD00044,P006,2024-08-04,90.7,80.8,250622.45,2024-09-18,Subcontractor availability,Priya Shah
UPD00045,P006,8/31/2024,100,90.6,116373.76,2024-09-21,Subcontractor availability,Priya Shah
UPD00046,P006,2024-09-23,100,100,0,2024-09-23,Material lead time,Priya Shah
UPD00047,P007,2023-10-31,17.7,10.8,2301282.32,2024-03-30,Inspection / approval delay,Daniel Kim
UPD00048,P007,2023-11-28,35.4,27.5,2122072.81,2024-04-05,Inspection / approval delay,Daniel Kim
UPD00049,P007,2023-12-26,53.2,40,1799339.8,2024-04-11,Inspection / approval delay,Daniel Kim
UPD00050,P007,2024-01-23,70.9,50.5,1442311.44,2024-04-17,Inspection / approval delay,Daniel Kim
UPD00051,P007,2024-02-20,88.6,66,954831.81,2024-04-22,Inspection / approval delay,Daniel Kim
UPD00052,P007,2024-03-19,100,76,571119.22,2024-04-28,Inspection / approval delay,Daniel Kim
UPD00053,P007,2024-04-16,100,91,252644.63,2024-05-04,Inspection / approval delay,Daniel Kim
UPD00054,P007,2024-05-09,100,100,0,2024-05-09,Inspection / approval delay,Daniel Kim
UPD00055,P008,2024-01-31,18.3,18.6,2131031.44,2024-06-05,None,Elena Martinez
UPD00056,P008,2024-02-28,36.6,35.1,1672516.72,2024-06-06,None,Elena Martinez
UPD00057,P008,2024-03-27,54.9,55.6,1356708.78,2024-06-06,None,Elena Martinez
UPD00058,P008,2024-04-24,73.2,72,954999.62,2024-06-06,None,Elena Martinez
UPD00059,P008,2024-05-22,91.5,90.7,399051.42,2024-06-07,None,Elena Martinez
UPD00060,P008,2024-06-07,100,100,0,2024-06-07,None,Elena Martinez
UPD00061,P009,2023-07-05,13.7,8.8,540757.62,2024-01-13,Labor availability,Marcus Reed
UPD00062,P009,2023-08-02,27.5,22,446503.21,2024-01-17,Labor availability,Marcus Reed
UPD00063,P009,2023-08-30,41.2,32.8,370145.92,2024-01-21,Labor availability,Marcus Reed
UPD00064,P009,2023-09-27,54.9,45.5,320914.64,2024-01-26,Labor availability,Marcus Reed
UPD00065,P009,2023-10-25,68.6,54.9,270575.42,2024-01-30,Labor availability,Marcus Reed
UPD00066,P009,2023-11-22,82.4,68.2,194672.62,2024-02-03,Labor availability,Marcus Reed
UPD00067,P009,2023-12-20,96.1,76,127511.51,2024-02-07,Labor availability,Marcus Reed
UPD00068,P009,2024-01-17,100,88.6,52850.27,2024-02-11,Labor availability,Marcus Reed
UPD00069,P009,2024-02-14,100,100,3052.9,2024-02-15,Labor availability,Marcus Reed
UPD00070,P009,2024-02-15,100,100,0,2024-02-15,Labor availability,Marcus Reed
UPD00071,P010,2025-06-07,21.5,21.4,416316.83,2025-09-16,None,Priya Shah
UPD00072,P010,2025-07-05,43.1,43.4,310846.97,2025-09-16,None,Priya Shah
UPD00073,P010,2025-08-02,64.6,65.4,175887.85,2025-09-16,None,Priya Shah
UPD00074,P010,2025-08-30,86.2,87.9,52872.51,2025-09-15,None,Priya Shah
UPD00075,P010,2025-09-15,98.5,100,0,2025-09-15,None,Priya Shah
UPD00076,P011,2024-04-19,15.2,12.4,790466.15,2024-10-05,Unforeseen site condition,Daniel Kim
UPD00077,P011,2024-05-17,30.4,23.5,730225.42,2024-10-08,Material lead time,Daniel Kim
UPD00078,P011,2024-06-14,45.7,35.7,619305.58,2024-10-12,Material lead time,Daniel Kim
UPD00079,P011,2024-07-12,60.9,50.9,490984.22,2024-10-15,Material lead time,Daniel Kim
UPD00080,P011,2024-08-09,76.1,65.4,308066.13,2024-10-19,Unforeseen site condition,Daniel Kim
UPD00081,P011,2024-09-06,91.3,75.3,220723.09,2024-10-22,Subcontractor availability,Daniel Kim
UPD00082,P011,2024-10-04,100,89.5,89036.63,2024-10-26,Unforeseen site condition,Daniel Kim
UPD00083,P011,2024-10-29,100,100,0,2024-10-29,Owner decision / change order,Daniel Kim
UPD00084,P012,2023-11-28,13.7,11.2,1085800.13,2024-05-31,Inspection / approval delay,Priya Shah
UPD00085,P012,2023-12-26,27.5,24.1,872331.73,2024-06-03,Inspection / approval delay,Priya Shah
UPD00086,P012,2024-01-23,41.2,36,699904.51,2024-06-05,Inspection / approval delay,Priya Shah
UPD00087,P012,2024-02-20,54.9,50.8,557211.1,2024-06-08,Inspection / approval delay,Priya Shah
UPD00088,P012,2024-03-19,68.6,61.2,446519.46,2024-06-10,Inspection / approval delay,Priya Shah
UPD00089,P012,2024-04-16,82.4,74.8,273978.17,2024-06-12,Inspection / approval delay,Priya Shah
UPD00090,P012,2024-05-14,96.1,86.7,109810.65,2024-06-15,Inspection / approval delay,Priya Shah
UPD00091,P012,2024-06-11,100,99.2,21198.35,2024-06-17,Inspection / approval delay,Priya Shah
UPD00092,P012,2024-06-18,100,100,0,2024-06-18,Inspection / approval delay,Priya Shah
UPD00093,P013,2023-04-15,19.2,18.6,1921673.29,2023-08-17,Subcontractor availability,Priya Shah
UPD00094,P013,2023-05-13,38.4,36.8,1428565.08,2023-08-19,Unforeseen site condition,Priya Shah
UPD00095,P013,2023-06-10,57.5,51.5,1025423.77,2023-08-21,Material lead time,Priya Shah
UPD00096,P013,2023-07-08,76.7,71,590495.37,2023-08-23,Material lead time,Priya Shah
UPD00097,P013,2023-08-05,95.9,86.3,208836.03,2023-08-25,Subcontractor availability,Priya Shah
UPD00098,P013,2023-08-26,100,100,0,2023-08-26,Owner decision / change order,Priya Shah
UPD00099,P014,2025-01-02,23.1,18.3,1826469.17,2025-04-12,Unforeseen site condition,Priya Shah
UPD00100,P014,2025-01-30,46.3,38.8,1473556.76,2025-04-15,Subcontractor availability,Priya Shah
UPD00101,P014,2025-02-27,69.4,60.7,1121038.69,2025-04-18,Unforeseen site condition,Priya Shah
UPD00102,P014,2025-03-27,92.6,81.5,600074.3,2025-04-20,Unforeseen site condition,Priya Shah
UPD00103,P014,2025-04-23,100,100,0,2025-04-23,Owner decision / change order,Priya Shah
UPD00104,P015,2023-07-27,16,12.5,919818.73,2023-12-28,Owner decision / change order,Daniel Kim
UPD00105,P015,2023-08-24,32,27.3,794148.07,2023-12-30,Weather,Daniel Kim
UPD00106,P015,2023-09-21,48,43,589039.94,2024-01-01,Material lead time,Daniel Kim
UPD00107,P015,2023-10-19,64,57.8,442601.69,2024-01-03,Subcontractor availability,Daniel Kim
UPD00108,P015,2023-11-16,80,69.7,316965.92,2024-01-05,Subcontractor availability,Daniel Kim
UPD00109,P015,2023-12-14,96,87.7,178752.36,2024-01-07,Subcontractor availability,Daniel Kim
UPD00110,P015,2024-01-09,100,100,0,2024-01-09,Subcontractor availability,Daniel Kim
UPD00111,P016,2024-08-07,16.4,12.4,460104.06,2025-01-13,Material lead time,Daniel Kim
UPD00112,P016,2024-09-04,32.7,26.8,409431.34,2025-01-18,Subcontractor availability,Daniel Kim
UPD00113,P016,2024-10-02,49.1,36.8,342275.27,2025-01-22,Unforeseen site condition,Daniel Kim
UPD00114,P016,2024-10-30,65.5,50.3,261050.48,2025-01-27,Material lead time,Daniel Kim
UPD00115,P016,2024-11-27,81.9,64.7,178693.31,2025-01-31,Material lead time,Daniel Kim
UPD00116,P016,2024-12-25,98.2,77.4,105237,2025-02-05,Owner decision / change order,Daniel Kim
UPD00117,P016,2025-01-22,100,88.1,43601.14,2025-02-09,Weather,Daniel Kim
UPD00118,P016,2025-02-13,100,100,0,2025-02-13,Unforeseen site condition,Daniel Kim
UPD00119,P017,2024-06-07,13.1,11.6,1323878,2024-12-23,Labor availability,Elena Martinez
UPD00120,P017,2024-07-05,26.3,19.4,1109050.51,2024-12-27,Labor availability,Elena Martinez
UPD00121,P017,2024-08-02,39.4,31.7,919942.46,2024-12-30,Labor availability,Elena Martinez
UPD00122,P017,2024-08-30,52.6,42.2,798043.76,2025-01-03,Labor availability,Elena Martinez
UPD00123,P017,2024-09-27,65.7,56.2,577545.1,2025-01-06,Labor availability,Elena Martinez
UPD00124,P017,2024-10-25,78.9,66.9,470130.61,2025-01-10,Labor availability,Elena Martinez
UPD00125,P017,2024-11-22,92,75.7,343874.34,2025-01-13,Labor availability,Elena Martinez
UPD00126,P017,2024-12-20,100,87.6,217063.8,2025-01-17,Labor availability,Elena Martinez
UPD00127,P017,2025-01-17,100,99.1,54311.14,2025-01-20,Labor availability,Elena Martinez
UPD00128,P017,2025-01-21,100,100,0,2025-01-21,Labor availability,Elena Martinez
UPD00129,P018,2024-04-25,10.3,9.3,1265050.11,2025-01-05,Unforeseen site condition,Marcus Reed
UPD00130,P018,2024-05-23,20.6,16.1,1099422.46,2025-01-07,Subcontractor availability,Marcus Reed
UPD00131,P018,2024-06-20,30.9,25.8,989396.91,2025-01-10,Subcontractor availability,Marcus Reed
UPD00132,P018,2024-07-18,41.2,37.9,878073.51,2025-01-12,Unforeseen site condition,Marcus Reed
UPD00133,P018,2024-08-15,51.5,46.2,690437.84,2025-01-14,Owner decision / change order,Marcus Reed
UPD00134,P018,2024-09-12,61.8,53.8,601348.86,2025-01-17,Owner decision / change order,Marcus Reed
UPD00135,P018,2024-10-10,72.1,61.7,467182.02,2025-01-19,Unforeseen site condition,Marcus Reed
UPD00136,P018,2024-11-07,82.4,75.1,304651.42,2025-01-21,Owner decision / change order,Marcus Reed
UPD00137,P018,2024-12-05,92.6,80,168998.67,2025-01-24,Material lead time,Marcus Reed
UPD00138,P018,2025-01-02,100,89.6,71017.72,2025-01-26,Material lead time,Marcus Reed
UPD00139,P018,2025-01-28,100,100,0,2025-01-28,None,Marcus Reed
UPD00140,P019,2024-04-10,23,15,375857.73,2024-08-01,Labor availability,Daniel Kim
UPD00141,P019,2024-05-08,45.9,35,309488.73,2024-08-07,Labor availability,Daniel Kim
UPD00142,P019,2024-06-05,68.9,47.4,213756.03,2024-08-13,Labor availability,Daniel Kim
UPD00143,P019,2024-07-03,91.8,64.3,135797.48,2024-08-19,Labor availability,Daniel Kim
UPD00144,P019,2024-07-31,100,81.8,76608.99,2024-08-25,Labor availability,Daniel Kim
UPD00145,P019,2024-08-28,100,98.4,6626.33,2024-08-31,Labor availability,Daniel Kim
UPD00146,P019,2024-09-01,100,100,0,2024-09-01,Labor availability,Daniel Kim
UPD00147,P020,2023-06-15,15.2,11.8,638970.53,2023-11-25,Labor availability,Priya Shah
UPD00148,P020,2023-07-13,30.4,25.3,596270.53,2023-11-27,Labor availability,Priya Shah
UPD00149,P020,2023-08-10,45.7,40.3,495715.05,2023-11-29,Labor availability,Priya Shah
UPD00150,P020,2023-09-07,60.9,56,357134.27,2023-12-01,Labor availability,Priya Shah
UPD00151,P020,2023-10-05,76.1,69.5,219543.34,2023-12-03,Labor availability,Priya Shah
UPD00152,P020,2023-11-02,91.3,80.7,114050.06,2023-12-05,Labor availability,Priya Shah
UPD00153,P020,2023-11-30,100,95.9,24563.09,2023-12-07,Labor availability,Priya Shah
UPD00154,P020,2023-12-08,100,100,0,2023-12-08,Labor availability,Priya Shah
UPD00155,P021,2023-07-04,27.5,21.3,1828813.68,2023-09-29,Labor availability,Marcus Reed
UPD00156,P021,2023-08-01,54.9,43.6,1381378.47,2023-10-04,Labor availability,Marcus Reed
UPD00157,P021,2023-08-29,82.4,61.4,826050.11,2023-10-09,Labor availability,Marcus Reed
UPD00158,P021,2023-09-26,100,81.6,272893.52,2023-10-14,Labor availability,Marcus Reed
UPD00159,P021,2023-10-18,100,100,0,2023-10-18,Labor availability,Marcus Reed
UPD00160,P022,2025-01-19,22.2,18.5,2695267.5,2025-05-09,Material lead time,Priya Shah
UPD00161,P022,2025-02-16,44.4,34.8,2114682.54,2025-05-14,Material lead time,Priya Shah
UPD00162,P022,2025-03-16,66.7,51.1,1710784.84,2025-05-18,Unforeseen site condition,Priya Shah
UPD00163,P022,2025-04-13,88.9,71.7,1005408.15,2025-05-22,Subcontractor availability,Priya Shah
UPD00164,P022,2025-05-11,100,89.7%,465584.95,2025-05-26,Owner decision / change order,Priya Shah
UPD00165,P022,2025-05-29,100,100,0,2025-05-29,Material lead time,Priya Shah
UPD00166,P023,2023-03-19,12.8,12,2427793.14,2023-10-08,Labor availability,Priya Shah
UPD00167,P023,2023-04-16,25.7,20.6,2082424.07,2023-10-11,Labor availability,Priya Shah
UPD00168,P023,2023-05-14,38.5,35.1,1797115.61,2023-10-14,Labor availability,Priya Shah
UPD00169,P023,2023-06-11,51.4,43.3,1549984.44,2023-10-17,Labor availability,Priya Shah
UPD00170,P023,2023-07-09,64.2,54.3,1270694.18,2023-10-20,Labor availability,Priya Shah
UPD00171,P023,2023-08-06,77.1,67,975114.76,2023-10-23,Labor availability,Priya Shah
UPD00172,P023,2023-09-03,89.9,75.9,743586.47,2023-10-26,Labor availability,Priya Shah
UPD00173,P023,2023-10-01,100,87.3,441100.43,2023-10-29,Labor availability,Priya Shah
UPD00174,P023,2023-10-29,100,96.5,37962.91,2023-11-02,Labor availability,Priya Shah
UPD00175,P023,2023-11-02,100,100,0,2023-11-02,Labor availability,Priya Shah
UPD00176,P024,2025-02-08,18.8,17.4,1104927.34,2025-06-18,Labor availability,Priya Shah
UPD00177,P024,2025-03-08,37.6,30.2,897597.89,2025-06-21,Labor availability,Priya Shah
UPD00178,P024,2025-04-05,56.4,49.5,739943.4,2025-06-24,Labor availability,Priya Shah
UPD00179,P024,2025-05-03,75.2,63.3,510538.87,2025-06-27,Labor availability,Priya Shah
UPD00180,P024,2025-05-31,94,80.4,292383.54,2025-06-30,Labor availability,Priya Shah
UPD00181,P024,2025-06-28,100,94.6,41867.99,2025-07-02,Labor availability,Priya Shah
UPD00182,P024,2025-07-03,100,100,0,2025-07-03,Labor availability,Priya Shah
UPD00183,P025,2024-04-15,10.2,10.2,2191952.43,2024-12-30,None,Olivia Bennett
UPD00184,P025,2024-05-13,20.4,16.1,1890298.25,2025-01-02,Subcontractor availability,Olivia Bennett
UPD00185,P025,2024-06-10,30.7,28.1,1730019.24,2025-01-04,Subcontractor availability,Olivia Bennett
UPD00186,P025,2024-07-08,40.9,33.1,1540755.69,2025-01-07,Subcontractor availability,Olivia Bennett
UPD00187,P025,2024-08-05,51.1,44.1,1367965.69,2025-01-10,Owner decision / change order,Olivia Bennett
UPD00188,P025,2024-09-02,61.3,53.9,1183706.59,2025-01-13,Weather,Olivia Bennett
UPD00189,P025,2024-09-30,71.5,60.1,981810.16,2025-01-15,Material lead time,Olivia Bennett
UPD00190,P025,2024-10-28,81.8,71.5,765802.26,2025-01-18,Owner decision / change order,Olivia Bennett
UPD00191,P025,2024-11-25,92,80.8,558743.62,2025-01-21,Material lead time,Olivia Bennett
UPD00192,P025,2024-12-23,100,89.4,248984.54,2025-01-24,None,Olivia Bennett
UPD00193,P025,2025-01-20,100,95.8,58647.83,2025-01-26,Owner decision / change order,Olivia Bennett
UPD00194,P025,2025-01-27,100,100,0,2025-01-27,Material lead time,Olivia Bennett
UPD00195,P026,2024-05-19,23.1,18,2683599.03,2024-09-05,Unforeseen site condition,Daniel Kim
UPD00196,P026,2024-06-16,46.3,34.3,2146659.56,2024-09-10,Unforeseen site condition,Daniel Kim
UPD00197,P026,2024-07-14,69.4,49.6,1592308.64,2024-09-16,Material lead time,Daniel Kim
UPD00198,P026,2024-08-11,92.6,67.2,1065564.04,2024-09-21,Unforeseen site condition,Daniel Kim
UPD00199,P026,2024-09-08,100,84.9,481764.04,2024-09-27,Subcontractor availability,Daniel Kim
UPD00200,P026,2024-10-01,100,100,0,2024-10-01,Material lead time,Daniel Kim
UPD00201,P027,2023-02-25,18.3,17.2,1628530.61,2023-07-07,Owner decision / change order,Elena Martinez
UPD00202,P027,2023-03-25,36.6,33.7,1203520.41,2023-07-10,Subcontractor availability,Elena Martinez
UPD00203,P027,2023-04-22,54.9,46.5,925537.22,2023-07-12,Unforeseen site condition,Elena Martinez
UPD00204,P027,2023-05-20,73.2,65.4,618735.4,2023-07-15,Owner decision / change order,Elena Martinez
UPD00205,P027,2023-06-17,91.5,79.8,370564.44,2023-07-17,Subcontractor availability,Elena Martinez
UPD00206,P027,2023-07-15,100,95.8,102886.73,2023-07-20,Subcontractor availability,Elena Martinez
UPD00207,P027,2023-07-20,100,100,0,2023-07-20,Subcontractor availability,Elena Martinez
UPD00208,P028,2024-08-30,16.8,15.2,185737.35,2025-01-27,Owner decision / change order,Daniel Kim
UPD00209,P028,2024-09-27,33.5,28.6,152538.3,2025-01-30,None,Daniel Kim
UPD00210,P028,2024-10-25,50.3,43.1,112604.82,2025-02-02,Subcontractor availability,Daniel Kim
UPD00211,P028,2024-11-22,67.1,54.7,79681.46,2025-02-05,Material lead time,Daniel Kim
UPD00212,P028,2024-12-20,83.8,70.3,44919.61,2025-02-08,Material lead time,Daniel Kim
UPD00213,P028,2025-01-17,100,83,19295.97,2025-02-12,Weather,Daniel Kim
UPD00214,P028,2025-02-14,100,98.2,1737.35,2025-02-15,Subcontractor availability,Daniel Kim
UPD00215,P028,2025-02-15,100,100,0,2025-02-15,Material lead time,Daniel Kim
UPD00216,P029,2024-09-26,13.7,9.4,806544.89,2025-04-06,Unforeseen site condition,Daniel Kim
UPD00217,P029,2024-10-24,27.3,22.2,624884.45,2025-04-09,Material lead time,Daniel Kim
UPD00218,P029,2024-11-21,41,34.7,485847.53,2025-04-13,Subcontractor availability,Daniel Kim
UPD00219,P029,2024-12-19,54.6,42.6,396416.67,2025-04-17,Weather,Daniel Kim
UPD00220,P029,2025-01-16,68.3,55.8,327020.23,2025-04-21,Owner decision / change order,Daniel Kim
UPD00221,P029,2025-02-13,82,66.4,253770.45,2025-04-24,Subcontractor availability,Daniel Kim
UPD00222,P029,2025-03-13,95.6,77,166749.6,2025-04-28,Material lead time,Daniel Kim
UPD00223,P029,2025-04-10,100,87.6,65803.07,2025-05-02,Weather,Daniel Kim
UPD00224,P029,2025-05-05,100,100,0,2025-05-05,Owner decision / change order,Daniel Kim
UPD00225,P030,2024-06-04,16.8,10.6,1693386.37,2024-11-10,Labor availability,Priya Shah
UPD00226,P030,2024-07-02,33.5,27.1,1366946.6,2024-11-16,Labor availability,Priya Shah
UPD00227,P030,2024-07-30,50.3,35.2,1184300.53,2024-11-21,Labor availability,Priya Shah
UPD00228,P030,2024-08-27,67.1,49,888528.38,2024-11-27,Labor availability,Priya Shah
UPD00229,P030,2024-09-24,83.8,60.7,679441.74,2024-12-02,Labor availability,Priya Shah
UPD00230,P030,2024-10-22,100,72.4,469366.89,2024-12-08,Labor availability,Priya Shah
UPD00231,P030,2024-11-19,100,88.9,162749.67,2024-12-13,Labor availability,Priya Shah
UPD00232,P030,2024-12-17,100,100,7280.55,2024-12-19,Labor availability,Priya Shah
UPD00233,P030,2024-12-19,100,100,0,2024-12-19,Labor availability,Priya Shah
UPD00234,P031,2023-07-19,11.4,12.6,539379.4,2024-02-28,Material lead time,Elena Martinez
UPD00235,P031,2023-08-16,22.9,23.3,459286.43,2024-03-01,Subcontractor availability,Elena Martinez
UPD00236,P031,2023-09-13,34.3,31.7,397297.42,2024-03-03,Unforeseen site condition,Elena Martinez
UPD00237,P031,2023-10-11,45.7,40.7,335443.61,2024-03-04,None,Elena Martinez
UPD00238,P031,2023-11-08,57.1,50.5,274829.55,2024-03-06,Material lead time,Elena Martinez
UPD00239,P031,2023-12-06,68.6,65.3,249720.45,2024-03-08,Material lead time,Elena Martinez
UPD00240,P031,2024-01-03,80,71.1,171274.12,2024-03-10,Unforeseen site condition,Elena Martinez
UPD00241,P031,2024-01-31,91.4,84.6,100273.96,2024-03-11,Owner decision / change order,Elena Martinez
UPD00242,P031,2024-02-28,100,96.1,47126.56,2024-03-13,Subcontractor availability,Elena Martinez
UPD00243,P031,2024-03-14,100,100,0,2024-03-14,Material lead time,Elena Martinez
UPD00244,P032,2024-01-07,13.2,8.6,2004211.41,2024-07-23,Labor availability,Daniel Kim
UPD00245,P032,2024-02-04,26.4,23.9,1815594.21,2024-07-26,Labor availability,Daniel Kim
UPD00246,P032,2024-03-03,39.6,35.1,1587338.42,2024-07-29,Labor availability,Daniel Kim
UPD00247,P032,2024-03-31,52.8,44.3,1251195.06,2024-08-02,Labor availability,Daniel Kim
UPD00248,P032,2024-04-28,66,56.2,864849.35,2024-08-05,Labor availability,Daniel Kim
UPD00249,P032,2024-05-26,79.2,67.5,638571.62,2024-08-09,Labor availability,Daniel Kim
UPD00250,P032,2024-06-23,92.5,78.9,430995.17,2024-08-12,Labor availability,Daniel Kim
UPD00251,P032,2024-07-21,100,86.7,167939.62,2024-08-15,Labor availability,Daniel Kim
UPD00252,P032,2024-08-18,100,100,1334.97,2024-08-19,Labor availability,Daniel Kim
UPD00253,P032,2024-08-19,100,100,0,2024-08-19,Labor availability,Daniel Kim
UPD00254,P033,2024-01-04,33.7,30.5,549783.1,2024-03-02,Unforeseen site condition,Marcus Reed
UPD00255,P033,2024-02-01,67.5,64.9,283721.46,2024-03-03,Subcontractor availability,Marcus Reed
UPD00256,P033,2024-02-29,100,94.3,61298.32,2024-03-05,Owner decision / change order,Marcus Reed
UPD00257,P033,2024-03-05,100,100,0,2024-03-05,Material lead time,Marcus Reed
UPD00258,P034,2025-08-18,13.9,13,530010.23,2026-02-08,None,Olivia Bennett
UPD00259,P034,2025-09-15,27.9,29.4,464335.72,2026-02-08,None,Olivia Bennett
UPD00260,P034,2025-10-13,41.8,42.9,396260.28,2026-02-09,None,Olivia Bennett
UPD00261,P034,2025-11-10,55.7,56,278057.13,2026-02-09,None,Olivia Bennett
UPD00262,P034,2025-12-08,69.7,70.7,153460.28,2026-02-09,None,Olivia Bennett
UPD00263,P034,2026-01-05,83.6,81.7,112972.97,2026-02-10,None,Olivia Bennett
UPD00264,P034,2026-02-02,97.5,95.6,8627.41,2026-02-10,None,Olivia Bennett
UPD00265,P034,2026-02-10,100,100,0,2026-02-10,None,Olivia Bennett
UPD00266,P035,2025-01-15,20.6,19,896199.98,2025-05-10,None,Elena Martinez
UPD00267,P035,2025-02-12,41.2,35.5,652929.03,2025-05-12,Subcontractor availability,Elena Martinez
UPD00268,P035,2025-03-12,61.8,54.9,447176.27,2025-05-14,Owner decision / change order,Elena Martinez
UPD00269,P035,2025-04-09,82.4,73.6,260066.85,2025-05-17,None,Elena Martinez
UPD00270,P035,2025-05-07,100,92.6,72450.45,2025-05-19,Subcontractor availability,Elena Martinez
UPD00271,P035,2025-05-20,100,100,0,2025-05-20,Owner decision / change order,Elena Martinez
UPD00272,P036,2023-04-17,11.5,9.3,1969294.89,2023-11-29,Subcontractor availability,Daniel Kim
UPD00273,P036,2023-05-15,23,22.7,1691299.5,2023-12-02,Material lead time,Daniel Kim
UPD00274,P036,2023-06-12,34.4,28.2,1490925.83,2023-12-04,Owner decision / change order,Daniel Kim
UPD00275,P036,2023-07-10,45.9,40.6,1253675.84,2023-12-07,Owner decision / change order,Daniel Kim
UPD00276,P036,2023-08-07,57.4,49.3,1064360.6,2023-12-09,None,Daniel Kim
UPD00277,P036,2023-09-04,68.9,60.5,801572.62,2023-12-12,Unforeseen site condition,Daniel Kim
UPD00278,P036,2023-10-02,80.3,69,604441.63,2023-12-14,Material lead time,Daniel Kim
UPD00279,P036,2023-10-30,91.8,79.5,326474.74,2023-12-16,Subcontractor availability,Daniel Kim
UPD00280,P036,2023-11-27,100,91.1,122950.23,2023-12-19,Unforeseen site condition,Daniel Kim
UPD00281,P036,2023-12-21,100,100,0,2023-12-21,Material lead time,Daniel Kim
